species,genus,family,status
Symphyotrichum lanceolatum,Symphyotrichum,Asteraceae,prune
Carex atlantica,Carex,Cyperaceae,bind
Frangula alnus,Frangula,Rhamnaceae,prune
Oxalis stricta,Oxalis,Oxalidaceae,bind
Galium asprellum,Galium,Rubiaceae,bind
Rubus pubescens,Rubus,Rosaceae,bind
Geranium maculatum,Geranium,Geraniaceae,prune
Hydrocotyle americana,Hydrocotyle,Araliaceae,prune
Toxicodendron radicans,Toxicodendron,Anacardiaceae,prune
Melampyrum lineare,Melampyrum,Orobanchaceae,bind
Clematis virginiana,Clematis,Ranunculaceae,prune
Lysimachia ciliata,Lysimachia,Primulaceae,prune
Carex intumescens,Carex,Cyperaceae,prune
Elymus virginicus,Elymus,Poaceae,prune
Carex lacustris,Carex,Cyperaceae,bind
Lysimachia terrestris,Lysimachia,Primulaceae,bind
