"ID","Name_submitted","Overall_score","Name_matched_id","Name_matched","Name_score","Name_matched_rank","Author_submitted","Author_matched","Author_score","Canonical_author","Name_matched_accepted_family","Genus_submitted","Genus_matched","Genus_score","Specific_epithet_submitted","Specific_epithet_matched","Specific_epithet_score","Family_submitted","Family_matched","Family_score","Infraspecific_rank","Infraspecific_epithet_matched","Infraspecific_epithet_score","Infraspecific_rank_2","Infraspecific_epithet_2_matched","Infraspecific_epithet_2_score","Annotations","Unmatched_terms","Name_matched_url","Name_matched_lsid","Phonetic","Taxonomic_status","Accepted_name","Accepted_species","Accepted_name_author","Accepted_name_id","Accepted_name_rank","Accepted_name_url","Accepted_name_lsid","Accepted_family","Overall_score_order","Highertaxa_score_order","Source","Warnings","unique_id","Best_match_overall_score","Best_match_highertaxa"
"56","Ilex verticillata (L.) A. Gray","1","1064700","Ilex verticillata","1","species","(L.) A. Gray","(L.) A.Gray","1","(L.) A.Gray","Aquifoliaceae","Ilex","Ilex","1","verticillata","verticillata","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001078505","","Y","Accepted","Ilex verticillata","Ilex verticillata","(L.) A.Gray","1064700","species","https://www.worldfloraonline.org/taxon/wfo-0001078505","","Aquifoliaceae","1","1","wfo","","56",true,true
"57","Betula populifolia Marshall","1","330751","Betula populifolia","1","species","Marshall","Marshall","1","Marshall","Betulaceae","Betula","Betula","1","populifolia","populifolia","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000335831","","Y","Accepted","Betula populifolia","Betula populifolia","Marshall","330751","species","https://www.worldfloraonline.org/taxon/wfo-0000335831","","Betulaceae","1","1","wfo","","57",true,true
"57","Betula populifolia Marshall","0.8","330739","Betula populifolia","1","species","Marshall","Aiton","0","Aiton","Betulaceae","Betula","Betula","1","populifolia","populifolia","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000335819","","Y","Accepted","Betula populifolia","Betula populifolia","Aiton","330739","species","https://www.worldfloraonline.org/taxon/wfo-0000335819","","Betulaceae","2","2","wfo","","57",false,false
"58","Bidens frondosa L.","1","75501","Bidens frondosa","1","species","L.","L.","1","L.","Asteraceae","Bidens","Bidens","1","frondosa","frondosa","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000076245","","Y","Accepted","Bidens frondosa","Bidens frondosa","L.","75501","species","https://www.worldfloraonline.org/taxon/wfo-0000076245","","Asteraceae","1","1","wfo","","58",true,true
"58","Bidens frondosa L.","0.8","58714","Bidens frondosa","1","species","L.","Buch.-Ham. ex Hook.f.","0","Buch.-Ham. ex Hook.f.","Asteraceae","Bidens","Bidens","1","frondosa","frondosa","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000059236","","Y","Synonym","Bidens tripartita subsp. tripartita","Bidens tripartita","","47968","subspecies","https://www.worldfloraonline.org/taxon/wfo-0000047981","","Asteraceae","2","2","wfo","","58",false,false
"59","Betula sp.","0.9","1395441","Betula","1","genus","","","","L.","Betulaceae","Betula","Betula","1","","","","","","","","","","","","","","sp.","https://www.worldfloraonline.org/taxon/wfo-4000004547","","Y","Accepted","Betula","","L.","1395441","genus","https://www.worldfloraonline.org/taxon/wfo-4000004547","","Betulaceae","1","1","wfo","","59",true,true
"60","Impatiens capensis Meerb.","1","722621","Impatiens capensis","1","species","Meerb.","Meerb.","1","Meerb.","Balsaminaceae","Impatiens","Impatiens","1","capensis","capensis","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000730324","","Y","Accepted","Impatiens capensis","Impatiens capensis","Meerb.","722621","species","https://www.worldfloraonline.org/taxon/wfo-0000730324","","Balsaminaceae","1","1","wfo","","60",true,true
"61","Polygonum arifolium L.","1","1086592","Polygonum arifolium","1","species","L.","L.","1","L.","Polygonaceae","Polygonum","Polygonum","1","arifolium","arifolium","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001101018","","Y","Synonym","Persicaria arifolia","Persicaria arifolia","(L.) Haraldson","1218823","species","https://www.worldfloraonline.org/taxon/wfo-0001234854","","Polygonaceae","1","1","wfo","","61",true,true
"61","Polygonum arifolium L.","0.8","1254811","Polygonum arifolium","1","species","L.","Thunb.","0","Thunb.","Polygonaceae","Polygonum","Polygonum","1","arifolium","arifolium","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001271676","","Y","Synonym","Polygonum thunbergii","Polygonum thunbergii","Siebold & Zucc.","1086423","species","https://www.worldfloraonline.org/taxon/wfo-0001100848","","Polygonaceae","2","2","wfo","","61",false,false
"62","Arisaema triphyllum (L.) Schott ssp. triphyllum","1","1334723","Arisaema triphyllum subsp. triphyllum","1","subspecies","","","","","Araceae","Arisaema","Arisaema","1","triphyllum","triphyllum","1","","","","subsp.","triphyllum","1","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001367683","","Y","No opinion","","","","","","","","","1","1","wfo","","62",true,true
"62","Arisaema triphyllum (L.) Schott ssp. triphyllum","0.96021221090168","1070410","Arisaema triphyllum fo.rm triphyllum","0.96021221090168","forma","","","","","Araceae","Arisaema","Arisaema","1","triphyllum","triphyllum","1","","","","fo.rm","triphyllum","0.7","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001084267","","Y","Synonym","Arisaema triphyllum","Arisaema triphyllum","(L.) Schott","269721","species","https://www.worldfloraonline.org/taxon/wfo-0000274695","","Araceae","2","2","wfo","","62",false,false
"62","Arisaema triphyllum (L.) Schott ssp. triphyllum","0.96021221090168","1070411","Arisaema triphyllum var. triphyllum","0.96021221090168","variety","","","","","Araceae","Arisaema","Arisaema","1","triphyllum","triphyllum","1","","","","var.","triphyllum","0.7","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001084268","","Y","Synonym","Arisaema triphyllum","Arisaema triphyllum","(L.) Schott","269721","species","https://www.worldfloraonline.org/taxon/wfo-0000274695","","Araceae","3","3","wfo","","62",false,false
"63","Betula alleghaniensis Britton","1","325834","Betula alleghaniensis","1","species","Britton","Britton","1","Britton","Betulaceae","Betula","Betula","1","alleghaniensis","alleghaniensis","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000330900","","Y","Accepted","Betula alleghaniensis","Betula alleghaniensis","Britton","325834","species","https://www.worldfloraonline.org/taxon/wfo-0000330900","","Betulaceae","1","1","wfo","","63",true,true
"64","Parthenocissus quinquefolia (L.) Planch.","0.90514","468209","Parthenocissus quinquefolia","1","species","(L.) Planch.","Planch.","0.5257","Planch.","Vitaceae","Parthenocissus","Parthenocissus","1","quinquefolia","quinquefolia","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000474309","","Y","Accepted","Parthenocissus quinquefolia","Parthenocissus quinquefolia","Planch.","468209","species","https://www.worldfloraonline.org/taxon/wfo-0000474309","","Vitaceae","1","1","wfo","","64",true,true
"65","Galium tinctorium (L.) Scop.","0.9043","961764","Galium tinctorium","1","species","(L.) Scop.","L.","0.5215","L.","Rubiaceae","Galium","Galium","1","tinctorium","tinctorium","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000970394","","Y","Accepted","Galium tinctorium","Galium tinctorium","L.","961764","species","https://www.worldfloraonline.org/taxon/wfo-0000970394","","Rubiaceae","1","1","wfo","","65",true,true
"65","Galium tinctorium (L.) Scop.","0.88838","961767","Galium tinctorium","1","species","(L.) Scop.","Scop.","0.4419","Scop.","Rubiaceae","Galium","Galium","1","tinctorium","tinctorium","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000970397","","Y","Synonym","Asperula tinctoria","Asperula tinctoria","L.","284563","species","https://www.worldfloraonline.org/taxon/wfo-0000289552","","Rubiaceae","2","2","wfo","","65",false,false
"66","Thelypteris palustris Schott var. pubescens (G. Lawson) Fernald","0.91174","1092910","Thelypteris palustris var. pubescens","1","variety","(G. Lawson) Fernald","Fernald","0.5587","Fernald","Thelypteridaceae","Thelypteris","Thelypteris","1","palustris","palustris","1","","","","var.","pubescens","1","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001107442","","Y","Synonym","Thelypteris palustris subsp. pubescens","Thelypteris palustris","(G.Lawson) Fraser-Jenk.","1326444","subspecies","https://www.worldfloraonline.org/taxon/wfo-0001359279","","Thelypteridaceae","1","1","wfo","","66",true,true
"67","Onoclea sensibilis L.","1","1094665","Onoclea sensibilis","1","species","L.","L.","1","L.","Onocleaceae","Onoclea","Onoclea","1","sensibilis","sensibilis","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001109206","","Y","Accepted","Onoclea sensibilis","Onoclea sensibilis","L.","1094665","species","https://www.worldfloraonline.org/taxon/wfo-0001109206","","Onocleaceae","1","1","wfo","","67",true,true
"68","Vaccinium pallidum Aiton","1","1034278","Vaccinium pallidum","1","species","Aiton","Aiton","1","Aiton","Ericaceae","Vaccinium","Vaccinium","1","pallidum","pallidum","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001047104","","Y","Accepted","Vaccinium pallidum","Vaccinium pallidum","Aiton","1034278","species","https://www.worldfloraonline.org/taxon/wfo-0001047104","","Ericaceae","1","1","wfo","","68",true,true
"69","Gaylussacia baccata (Wangenh.) K. Koch","1","688151","Gaylussacia baccata","1","species","(Wangenh.) K. Koch","(Wangenh.) K.Koch","1","(Wangenh.) K.Koch","Ericaceae","Gaylussacia","Gaylussacia","1","baccata","baccata","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000695679","","Y","Accepted","Gaylussacia baccata","Gaylussacia baccata","(Wangenh.) K.Koch","688151","species","https://www.worldfloraonline.org/taxon/wfo-0000695679","","Ericaceae","1","1","wfo","","69",true,true
"70","Lyonia ligustrina (L.) DC. var. ligustrina","1","1034053","Lyonia ligustrina var. ligustrina","1","variety","","","","","Ericaceae","Lyonia","Lyonia","1","ligustrina","ligustrina","1","","","","var.","ligustrina","1","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001046878","","Y","Synonym","Lyonia ligustrina","Lyonia ligustrina","(L.) DC.","1034052","species","https://www.worldfloraonline.org/taxon/wfo-0001046877","","Ericaceae","1","1","wfo","","70",true,true
"71","Pteridium aquilinum (L.) Kuhn var. latiusculum (Desv.) Underw. ex A. Heller","1","1101994","Pteridium aquilinum var. latiusculum","1","variety","(Desv.) Underw. ex A. Heller","(Desv.) Underw. ex A.Heller","1","(Desv.) Underw. ex A.Heller","Dennstaedtiaceae","Pteridium","Pteridium","1","aquilinum","aquilinum","1","","","","var.","latiusculum","1","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001116593","","Y","Synonym","Pteridium latiusculum subsp. latiusculum","Pteridium latiusculum","","1375332","subspecies","https://www.worldfloraonline.org/taxon/wfo-0001425728","","Dennstaedtiaceae","1","1","wfo","","71",true,true
"72","Goodyera tesselata Lodd.","1","966161","Goodyera tesselata","1","species","Lodd.","Lodd.","1","Lodd.","Orchidaceae","Goodyera","Goodyera","1","tesselata","tesselata","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000974794","","Y","Accepted","Goodyera tesselata","Goodyera tesselata","Lodd.","966161","species","https://www.worldfloraonline.org/taxon/wfo-0000974794","","Orchidaceae","1","1","wfo","","72",true,true
"72","Goodyera tesselata Lodd.","0.8923","1472960","Goodyera tesselata","1","species","Lodd.","G.Lodd. ex Sweet","0.4615","G.Lodd. ex Sweet","Orchidaceae","Goodyera","Goodyera","1","tesselata","tesselata","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-1200010042","","Y","No opinion","","","","","","","","","2","2","wfo","","72",false,false
"73","Sorbus americana Marshall","1","1005249","Sorbus americana","1","species","Marshall","Marshall","1","Marshall","Rosaceae","Sorbus","Sorbus","1","americana","americana","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001015070","","Y","Accepted","Sorbus americana","Sorbus americana","Marshall","1005249","species","https://www.worldfloraonline.org/taxon/wfo-0001015070","","Rosaceae","1","1","wfo","","73",true,true
"73","Sorbus americana Marshall","0.8434","982330","Sorbus americana","1","species","Marshall","Pursh","0.217","Pursh","Rosaceae","Sorbus","Sorbus","1","americana","americana","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000991285","","Y","Synonym","Sorbus decora","Sorbus decora","(Sarg.) C.K.Schneid.","1005265","species","https://www.worldfloraonline.org/taxon/wfo-0001015088","","Rosaceae","2","2","wfo","","73",false,false
"73","Sorbus americana Marshall","0.81666","996758","Sorbus americana","1","species","Marshall","Willd.","0.0833","Willd.","Rosaceae","Sorbus","Sorbus","1","americana","americana","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001006113","","Y","Synonym","Sorbus americana","Sorbus americana","Marshall","1005249","species","https://www.worldfloraonline.org/taxon/wfo-0001015070","","Rosaceae","3","3","wfo","","73",false,false
"73","Sorbus americana Marshall","0.8","987973","Sorbus americana","1","species","Marshall","Herb.L.B. ex Hedl.","0","Herb.L.B. ex Hedl.","Rosaceae","Sorbus","Sorbus","1","americana","americana","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000997054","","Y","No opinion","","","","","","","","","4","4","wfo","[Ambiguous]","73",false,false
"73","Sorbus americana Marshall","0.8","996759","Sorbus americana","1","species","Marshall","Wenz.","0","Wenz.","Rosaceae","Sorbus","Sorbus","1","americana","americana","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001006114","","Y","No opinion","","","","","","","","","5","5","wfo","[Ambiguous]","73",false,false
"74","Osmunda claytoniana L.","1","1094528","Osmunda claytoniana","1","species","L.","L.","1","L.","Osmundaceae","Osmunda","Osmunda","1","claytoniana","claytoniana","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001109066","","Y","Accepted","Osmunda claytoniana","Osmunda claytoniana","L.","1094528","species","https://www.worldfloraonline.org/taxon/wfo-0001109066","","Osmundaceae","1","1","wfo","","74",true,true
"75","Thelypteris noveboracensis (L.) Nieuwl.","0.90514","1094882","Thelypteris noveboracensis","1","species","(L.) Nieuwl.","Nieuwl.","0.5257","Nieuwl.","Thelypteridaceae","Thelypteris","Thelypteris","1","noveboracensis","noveboracensis","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001109425","","Y","Accepted","Thelypteris noveboracensis","Thelypteris noveboracensis","Nieuwl.","1094882","species","https://www.worldfloraonline.org/taxon/wfo-0001109425","","Thelypteridaceae","1","1","wfo","","75",true,true
"76","Brachyelytrum aristosum (Michx.) Trel.","0.91846","846051","Brachyelytrum aristosum","1","species","(Michx.) Trel.","(Michx.) Trel., Branner & Coville","0.5923","(Michx.) Trel., Branner & Coville","Poaceae","Brachyelytrum","Brachyelytrum","1","aristosum","aristosum","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000854319","","Y","Accepted","Brachyelytrum aristosum","Brachyelytrum aristosum","(Michx.) Trel., Branner & Coville","846051","species","https://www.worldfloraonline.org/taxon/wfo-0000854319","","Poaceae","1","1","wfo","","76",true,true
"77","Kalmia angustifolia L.","1","351015","Kalmia angustifolia","1","species","L.","L.","1","L.","Ericaceae","Kalmia","Kalmia","1","angustifolia","angustifolia","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000356149","","Y","Accepted","Kalmia angustifolia","Kalmia angustifolia","L.","351015","species","https://www.worldfloraonline.org/taxon/wfo-0000356149","","Ericaceae","1","1","wfo","","77",true,true
