Band,nSIM,K_obs,K_pval,K_sim_mean,K_sim_SD,K_sim_SES,K_BM_pval,K_BM_mean,K_BM_SD,K_BM_SES
400,1000,0.12957981380412087,0.004,0.0555588643062329,0.019274981309833628,3.8402605070296114,9.99000999000999e-4,0.9430477850563106,0.6261796078610695,-1.2990968741873719
410,1000,0.11563353734501573,0.008,0.053620957172832606,0.018557973323632973,3.3415599371086566,0.001998001998001998,1.0289469932921498,0.7908499809692616,-1.1548504494212442
420,1000,0.1083790857664138,0.006,0.0531508581408748,0.01766127474525795,3.1270804866657635,9.99000999000999e-4,1.0261205021948876,0.7612509689271527,-1.205570112734131
430,1000,0.10087737683021013,0.022000000000000013,0.0543742241527104,0.018157054361518484,2.5611617254424877,9.99000999000999e-4,0.9700284336586394,0.6294067054088295,-1.3809053023416307
440,1000,0.09677001160139406,0.024000000000000014,0.05419145137561549,0.018600388744217204,2.289122061441651,9.99000999000999e-4,0.992696026560356,0.690462528223037,-1.2975736963810367
450,1000,0.09512274563743993,0.03300000000000002,0.05495602294962369,0.018807048876705538,2.135727032515285,9.99000999000999e-4,1.0023333185469512,0.6410300906089937,-1.4152386700718522
460,1000,0.09461050587257958,0.03200000000000002,0.05441136316999614,0.018688189468538115,2.151045331077116,9.99000999000999e-4,0.9790798622588237,0.6187121196402697,-1.4295329415892004
470,1000,0.09349216003300713,0.036000000000000025,0.054259904520515205,0.018896760651764086,2.0761365524746402,9.99000999000999e-4,0.9772954565529436,0.6583721848120774,-1.3424067980214036
480,1000,0.09256116805332724,0.03400000000000002,0.05310550824036615,0.018400264198959383,2.1442985484519554,9.99000999000999e-4,1.0248560355183054,0.6850711989333116,-1.360872955857151
490,1000,0.09326640770777085,0.035000000000000024,0.05363431218978396,0.01883455202858572,2.10422289087822,9.99000999000999e-4,0.9710970066747985,0.624060505335725,-1.4066434127164997
500,1000,0.09406012283032655,0.037000000000000026,0.05463328558131756,0.018919902630183023,2.0838816150201085,9.99000999000999e-4,1.0176915416931773,0.7592581325096186,-1.2164919667174585
510,1000,0.09505923331737995,0.04100000000000003,0.05434674836171991,0.019252870548827697,2.1146189526599715,9.99000999000999e-4,1.0008132103646565,0.7156494393191244,-1.2656391904799358
520,1000,0.10464144627529606,0.01800000000000001,0.0535667750233287,0.01897907035343373,2.6911050067700937,9.99000999000999e-4,0.9832827988967517,0.6786484754249247,-1.294692885107137
530,1000,0.1124075297289449,0.014000000000000005,0.05348831600394958,0.01808942756108909,3.2571076959744345,9.99000999000999e-4,0.9972478647270703,0.743294434483905,-1.1904304592466115
540,1000,0.10141855778536177,0.025000000000000015,0.054061607187598254,0.018963762324885867,2.4972339236511987,9.99000999000999e-4,1.032050363041089,0.668841492230183,-1.3914086013901912
550,1000,0.10191890153525472,0.016000000000000007,0.05359915861556353,0.017966768234016814,2.689395348697521,9.99000999000999e-4,1.002329667693148,0.6966464529317287,-1.2924931468015863
560,1000,0.10706945158694008,0.015000000000000006,0.053897306349632794,0.01801780477708223,2.951088986430781,9.99000999000999e-4,0.9972617194443716,0.6635850454283577,-1.3414893448703236
570,1000,0.10517851738898948,0.012000000000000004,0.05405203668464717,0.01798189933574976,2.8432191588737186,9.99000999000999e-4,1.0220218029099424,0.709289821803562,-1.2926215170966784
580,1000,0.10394575676838749,0.02000000000000001,0.053733357386069894,0.018144648268579932,2.7673393630488605,9.99000999000999e-4,0.9688723799466902,0.5986444099755629,-1.4448086522909478
590,1000,0.10498066412569272,0.01900000000000001,0.055035332783333064,0.019233784782739113,2.5967500367988867,9.99000999000999e-4,0.9788408959798437,0.637481959126262,-1.3707999408357703
600,1000,0.107502969953883,0.01900000000000001,0.055219113424553594,0.01956123585141149,2.672829923757437,9.99000999000999e-4,1.0195704465497701,0.7235445435124269,-1.260554702227842
610,1000,0.10629751727456832,0.01800000000000001,0.05372669407532719,0.019911488398051725,2.6402256902294163,9.99000999000999e-4,1.0201330351351363,0.683260633917117,-1.337462561865405
620,1000,0.10204593942960162,0.025000000000000015,0.05453382907739999,0.01980546002559695,2.3989400039583066,9.99000999000999e-4,1.0441838616261048,0.7522615105848816,-1.2524074526476745
630,1000,0.10888929767764845,0.01900000000000001,0.05555110127314657,0.020433775702864535,2.6102956781024367,9.99000999000999e-4,0.9762571957697509,0.6535963284110966,-1.3270697223784718
640,1000,0.10613662405684457,0.014000000000000005,0.05271051808567896,0.018208661558803303,2.93410395918616,9.99000999000999e-4,0.997244077307888,0.6746287731475867,-1.3208856318022746
